HouseID,Street,City,State,Zip,Lat,Lon,TotalPrice
322,2102 97th St,Lubbock,Texas,79423,33.50654,-101.8619995,141094
323,4915 Itasca St,Lubbock,Texas,79416,33.610167,-101.9169998,188889
324,4511 35th St,Lubbock,Texas,79414,33.562213,-101.9069977,70152
325,2724 37th St,Lubbock,Texas,79413,33.560874,-101.8769989,68572
326,3811 55th St,Lubbock,Texas,79413,33.544052,-101.8980026,159659
327,4019 88th St,Lubbock,Texas,79423,33.513355,-101.9000015,383387
328,4311 62nd St,Lubbock,Texas,79413,33.537868,-101.9039993,154366
329,5402 95th St,Lubbock,Texas,79424,33.508005,-101.9280014,124741
330,4019 88th St,Lubbock,Texas,79423,33.513355,-101.9000015,383387
331,5725 88th St,Lubbock,Texas,79424,33.512998,-101.939003,146150
332,7711 Dixon Ave,Lubbock,Texas,79423,33.524244,-101.8779984,178160
333,1311 81st St,Lubbock,Texas,79423,33.520591,-101.8499985,94080
334,1617 79th St,Lubbock,Texas,79423,33.522831,-101.8550034,133680
335,2008 100th St,Lubbock,Texas,79423,33.5153,-101.8830032,131360
336,3314 27th St,Lubbock,Texas,79410,33.569972,-101.887001,154000
337,2805 38th St,Lubbock,Texas,79413,33.55956,-101.8779984,63040
338,4519 79th St,Lubbock,Texas,79424,33.523046,-101.9110031,200320
339,5217 73rd Street APT A,Lubbock,Texas,79424,33.527234,-101.9250031,139680
340,8201 Brentwood Ave,Lubbock,Texas,79424,33.519572,-101.9300003,143680
341,5008 Lehigh St,Lubbock,Texas,79416,33.612912,-101.9199982,178281
342,1601 Kirby Ave,Lubbock,Texas,79416,33.581404,-101.9520035,144666
343,3615 67th St,Lubbock,Texas,79413,33.533259,-101.8939972,225261
344,3413 84th St,Lubbock,Texas,79423,33.517594,-101.8889999,140292
345,4646 Grinnell St,Lubbock,Texas,79416,33.608825,-101.913002,81648
346,3615 67th St,Lubbock,Texas,79413,33.533259,-101.8939972,225261
347,6522 88th St,Lubbock,Texas,79424,33.514328,-101.9589996,135432
348,2817 55th St,Lubbock,Texas,79413,33.543844,-101.8779984,119720
349,2302 95th St,Lubbock,Texas,79423,33.508217,-101.8659973,117588
350,5602 Amherst St,Lubbock,Texas,79416,33.598751,-101.9329987,110126
352,507 Iola Ave,Lubbock,Texas,79416,33.590686,-101.947998,128248
353,4910 63rd St,Lubbock,Texas,79414,33.537312,-101.9169998,150388
354,5323 68th St,Lubbock,Texas,79424,33.532634,-101.9290009,198604
355,5412 80th St,Lubbock,Texas,79424,33.521835,-101.9290009,223696
356,5801 88th St,Lubbock,Texas,79424,33.513932,-101.9400024,184336
357,1106 Primrose Ave,Lubbock,Texas,79416,33.585399,-101.9649963,154463
358,6110 Lynnhaven Dr,Lubbock,Texas,79413,33.537489,-101.8949966,162348
359,9607 Utica Dr,Lubbock,Texas,79424,33.50581,-101.9150009,268007
360,2413 94th St,Lubbock,Texas,79423,33.508586,-101.8700027,149898
361,5905 72nd St,Lubbock,Texas,79424,33.528072,-101.9420013,134626
